Name,Artist,Album,Genre,Year,Date Added,Plays,Skips
86Sentra,NxWorries,Why Lawd?,Hip-Hop/Rap,2024,2024-06-11 23:58:00,80,3
Trae The Truth in Ibiza,J. Cole,Might Delete Later,Hip-Hop/Rap,2024,2024-04-04 23:01:00,55,6
Need 2,Pinegrove,Everything so Far,Rock,2015,2024-08-16 10:51:00,64,4
Gonna Love Me,Teyana Taylor,K.T.S.E.,R&B/Soul,2018,2024-01-13 0:29:00,70,2
The Medium,Navy Blue,Ways of Knowing,Hip-Hop/Rap,2023,2024-01-30 22:07:00,76,6
Tonight,SahBabii,Squidtastic,Hip-Hop/Rap,2018,2024-09-27 6:15:00,75,11
MoveOn,NxWorries,Why Lawd?,Hip-Hop/Rap,2024,2024-06-13 23:04:00,72,3
Cartier (feat. Elcamino),Boldy James,The Versace Tape,Hip-Hop/Rap,2020,2021-09-28 12:23:00,80,12
luther,Kendrick Lamar & SZA,GNX,Hip-Hop/Rap,2024,2024-11-22 13:47:00,76,2
OutTheWay (feat. Rae Khalil),NxWorries,Why Lawd?,Hip-Hop/Rap,2024,2024-06-13 23:04:00,44,14
M a k e  I t  T o  T h e  M o r n i n g,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),R&B/Soul,2024,2024-05-10 9:36:00,47,3
2 The Sky,Robin Thicke,The Evolution of Robin Thicke (Deluxe Edition),Contemporary R&B,2006,2020-08-02 19:37:00,74,6
Murderous Tendencies,Nicholas Craven & Boldy James,Penalty of Leadership,Hip-Hop/Rap,2024,2024-01-12 2:30:00,66,4
Previouscats,Musiq Soulchild,Juslisen,R&B/Soul,2002,2024-01-10 1:20:00,72,6
Daydreaming,NxWorries,Why Lawd?,Hip-Hop/Rap,2023,2024-06-11 23:58:00,53,11
SheUsed,NxWorries,Why Lawd?,Hip-Hop/Rap,2024,2024-06-13 23:04:00,58,9
Onenight,Musiq Soulchild,Juslisen,R&B/Soul,2002,2024-01-10 1:20:00,47,6
